site_id,sitename,location,lon,lat,met_filename,met_start_date,met_end_date,cohort_filename,start_date,end_date
1000003713,MANDIFORE-SEUS-7071,SEUS,-91.0025219,34.1855938,NARR_ED2_site_1-3713,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3713,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003759,MANDIFORE-SEUS-7168,SEUS,-92.856427300000007,34.3400825,NARR_ED2_site_1-3759,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3759,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003827,MANDIFORE-SEUS-7349,SEUS,-82.7342571,33.7108084,NARR_ED2_site_1-3827,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3827,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003828,MANDIFORE-SEUS-7350,SEUS,-82.6266755,33.6983035,NARR_ED2_site_1-3828,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3828,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003842,MANDIFORE-SEUS-7381,SEUS,-79.3100183,33.2610125,NARR_ED2_site_1-3842,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3842,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003860,MANDIFORE-SEUS-7455,SEUS,-82.3961227,33.7615897,NARR_ED2_site_1-3860,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3860,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003884,MANDIFORE-SEUS-7540,SEUS,-84.0004158,34.0305602,NARR_ED2_site_1-3884,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3884,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003914,MANDIFORE-SEUS-7658,SEUS,-81.7185567,33.8601653,NARR_ED2_site_1-3914,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3914,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003927,MANDIFORE-SEUS-7692,SEUS,-91.4076038,34.7395282,NARR_ED2_site_1-3927,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3927,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003935,MANDIFORE-SEUS-7756,SEUS,-81.2715164,33.8941924,NARR_ED2_site_1-3935,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3935,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000003971,MANDIFORE-SEUS-7851,SEUS,-80.8240963,33.9264887,NARR_ED2_site_1-3971,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-3971,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004022,MANDIFORE-SEUS-8007,SEUS,-83.3875165,34.4163324,NARR_ED2_site_1-4022,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4022,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004040,MANDIFORE-SEUS-8053,SEUS,-91.9388055,35.117035,NARR_ED2_site_1-4040,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4040,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004072,MANDIFORE-SEUS-8196,SEUS,-82.9230037,34.5453546,NARR_ED2_site_1-4072,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4072,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004079,MANDIFORE-SEUS-8205,SEUS,-81.9453334,34.4308538,NARR_ED2_site_1-4079,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4079,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004087,MANDIFORE-SEUS-8226,SEUS,-79.6760498,34.1318803,NARR_ED2_site_1-4087,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4087,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004122,MANDIFORE-SEUS-8325,SEUS,-79.0116045,34.1263741,NARR_ED2_site_1-4122,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4122,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004129,MANDIFORE-SEUS-8346,SEUS,-90.4835325,35.326262,NARR_ED2_site_1-4129,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4129,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004133,MANDIFORE-SEUS-8380,SEUS,-82.5658609,34.6851511,NARR_ED2_site_1-4133,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4133,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004155,MANDIFORE-SEUS-8423,SEUS,-77.9182782,34.0501744,NARR_ED2_site_1-4155,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4155,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004157,MANDIFORE-SEUS-8431,SEUS,-90.6988963,35.425627,NARR_ED2_site_1-4157,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4157,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004172,MANDIFORE-SEUS-8502,SEUS,-78.2196531,34.1883939,NARR_ED2_site_1-4172,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4172,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004189,MANDIFORE-SEUS-8531,SEUS,-88.6964755,35.4082018,NARR_ED2_site_1-4189,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4189,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000004200,MANDIFORE-SEUS-8581,SEUS,-78.4144514,34.3093982,NARR_ED2_site_1-4200,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-4200,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012260,MANDIFORE-SEUS-10169,SEUS,-77.4975228,36.2602235,NARR_ED2_site_1-12260,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12260,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012323,MANDIFORE-SEUS-10267,SEUS,-76.022593,36.2017561,NARR_ED2_site_1-12323,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12323,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012351,MANDIFORE-SEUS-10309,SEUS,-75.9991466,36.2890724,NARR_ED2_site_1-12351,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12351,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012408,MANDIFORE-SEUS-1038,SEUS,-90.6374265,29.9438922,NARR_ED2_site_1-12408,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12408,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012413,MANDIFORE-SEUS-10384,SEUS,-76.5033935,36.5558736,NARR_ED2_site_1-12413,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12413,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012414,MANDIFORE-SEUS-10385,SEUS,-76.3930252,36.5376373,NARR_ED2_site_1-12414,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12414,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012426,MANDIFORE-SEUS-10397,SEUS,-79.2593876,37.0664163,NARR_ED2_site_1-12426,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12426,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012439,MANDIFORE-SEUS-10419,SEUS,-76.8121889,36.6974228,NARR_ED2_site_1-12439,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12439,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012444,MANDIFORE-SEUS-10423,SEUS,-76.3699043,36.625007600000004,NARR_ED2_site_1-12444,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12444,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012450,MANDIFORE-SEUS-1043,SEUS,-90.1200033,29.9172521,NARR_ED2_site_1-12450,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12450,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012499,MANDIFORE-SEUS-1050,SEUS,-83.0281558,29.3005633,NARR_ED2_site_1-12499,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12499,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012513,MANDIFORE-SEUS-10514,SEUS,-78.1920302,37.1845412,NARR_ED2_site_1-12513,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12513,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012544,MANDIFORE-SEUS-10557,SEUS,-77.0549041,37.1006256,NARR_ED2_site_1-12544,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12544,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012569,MANDIFORE-SEUS-10594,SEUS,-79.1391651,37.5934826,NARR_ED2_site_1-12569,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12569,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012573,MANDIFORE-SEUS-10599,SEUS,-78.5770575,37.5134436,NARR_ED2_site_1-12573,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12573,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012575,MANDIFORE-SEUS-1060,SEUS,-82.0104444,29.1729352,NARR_ED2_site_1-12575,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12575,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012577,MANDIFORE-SEUS-10602,SEUS,-78.2403812,37.4641746,NARR_ED2_site_1-12577,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12577,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012587,MANDIFORE-SEUS-10621,SEUS,-79.0063144,37.6654886,NARR_ED2_site_1-12587,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12587,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012591,MANDIFORE-SEUS-10625,SEUS,-78.5562105,37.601175,NARR_ED2_site_1-12591,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12591,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012599,MANDIFORE-SEUS-10634,SEUS,-77.546393,37.4504001,NARR_ED2_site_1-12599,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12599,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012604,MANDIFORE-SEUS-10651,SEUS,-78.3103006,37.6560824,NARR_ED2_site_1-12604,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12604,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012615,MANDIFORE-SEUS-10661,SEUS,-77.1882849,37.4857719,NARR_ED2_site_1-12615,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12615,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012616,MANDIFORE-SEUS-10662,SEUS,-77.0763697,37.4681724,NARR_ED2_site_1-12616,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12616,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012623,MANDIFORE-SEUS-10670,SEUS,-78.6270785,37.792893,NARR_ED2_site_1-12623,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12623,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
1000012624,MANDIFORE-SEUS-10672,SEUS,-78.4017079,37.7602446,NARR_ED2_site_1-12624,2000-01-01T00:00:00Z,2015-12-31T00:00:00Z,FIA_ED2_site_1-12624,2000-01-01T00:00:00Z,2000-12-31T00:00:00Z
