site,ensemble,AGB_PFT,BSEEDS,DBH,DDBH,NPP_PFT,TRANSP_PFT,DENS,lon,lat,dtime,pft,date
MANDIFORE-SEUS-5605,13,0.12578129768371582,0,44.61123275756836,0.7722928524017334,9.854174095380586e-6,2.0259942630218575e-6,0.5479692816734314,-91.2805832,33.2113616,60,8,2004-03-01
MANDIFORE-SEUS-5605,13,0.12583546340465546,0,44.61123275756836,0,1.4752449715160765e-5,5.2826562750851735e-6,0.5371035933494568,-91.2805832,33.2113616,91,8,2004-04-01
MANDIFORE-SEUS-5605,13,0.1263677030801773,0,44.61123275756836,0,1.7329364709439687e-5,8.462715413770638e-6,0.5273332595825195,-91.2805832,33.2113616,121,8,2004-05-01
MANDIFORE-SEUS-5605,13,0.12632688879966736,0,44.61123275756836,0,1.4146652574709151e-5,9.949780178430956e-6,0.5087166428565979,-91.2805832,33.2113616,152,8,2004-06-01
MANDIFORE-SEUS-5605,13,0.12576211988925934,0,44.61123275756836,0,1.104031252907589e-5,9.679069080448244e-6,0.5004745721817017,-91.2805832,33.2113616,182,8,2004-07-01
MANDIFORE-SEUS-5605,13,0.12487687915563583,0,44.61123275756836,0,9.895850780594628e-6,1.0363260116719175e-5,0.4948298931121826,-91.2805832,33.2113616,213,8,2004-08-01
MANDIFORE-SEUS-5605,13,0.12428581714630127,0,44.61123275756836,0,1.1713485037034843e-5,9.539832717564423e-6,0.49161994457244873,-91.2805832,33.2113616,244,8,2004-09-01
MANDIFORE-SEUS-5605,13,0.12376169115304947,0,44.61123275756836,0,1.1063753845519386e-5,8.223264558182564e-6,0.4900863468647003,-91.2805832,33.2113616,274,8,2004-10-01
MANDIFORE-SEUS-5605,13,0.12225915491580963,0,44.61123275756836,0,8.284526302304585e-6,4.621667358151171e-6,0.4861767590045929,-91.2805832,33.2113616,305,8,2004-11-01
MANDIFORE-SEUS-5605,13,0.11545401066541672,0,44.61123275756836,0,6.311544439085992e-6,1.6109689795484883e-6,0.4750768542289734,-91.2805832,33.2113616,0,9,2004-01-01
MANDIFORE-SEUS-5605,13,0.10911256819963455,0,44.80546569824219,0,3.8923822103242856e-6,3.5774041862168815e-7,0.9045096635818481,-91.2805832,33.2113616,31,9,2004-02-01
MANDIFORE-SEUS-5605,13,0.018200671300292015,0,18.695016860961914,0,-2.735974335976721e-9,0,0.5049214959144592,-91.2805832,33.2113616,60,9,2004-03-01
MANDIFORE-SEUS-5605,13,0.01864553801715374,0,18.695016860961914,0,1.2686065531397617e-7,5.0478181634616703e-8,0.5027405023574829,-91.2805832,33.2113616,91,9,2004-04-01
MANDIFORE-SEUS-5605,13,0.017693154513835907,0,18.695016860961914,0,4.34330985399356e-7,2.486651169419929e-7,0.4986472427845001,-91.2805832,33.2113616,121,9,2004-05-01
MANDIFORE-SEUS-5605,13,0.016756057739257812,0,18.695016860961914,0,5.120829769111879e-7,3.8206761132641986e-7,0.49285683035850525,-91.2805832,33.2113616,152,9,2004-06-01
MANDIFORE-SEUS-5605,13,0.027179546654224396,0,23.04478645324707,53.82395935058594,4.3011414163629524e-7,4.833754019273329e-7,0.40459996461868286,-91.2805832,33.2113616,182,9,2004-07-01
MANDIFORE-SEUS-5605,13,0.028680160641670227,0,29.685331344604492,0,4.2049512671837874e-7,1.0253776281388127e-6,0.4039504826068878,-91.2805832,33.2113616,213,9,2004-08-01
MANDIFORE-SEUS-5605,13,0.02784576825797558,0,29.685331344604492,0,5.13917370881245e-7,2.0008808405691525e-6,0.4024229943752289,-91.2805832,33.2113616,244,9,2004-09-01
MANDIFORE-SEUS-5605,13,0.02708558924496174,0,29.685331344604492,0,6.112504138400254e-7,1.8171953115597717e-6,0.40088242292404175,-91.2805832,33.2113616,274,9,2004-10-01
MANDIFORE-SEUS-5605,13,0.026408182457089424,0,29.685331344604492,0,5.903417559238733e-7,1.5442957419509185e-6,0.39940106868743896,-91.2805832,33.2113616,305,9,2004-11-01
MANDIFORE-SEUS-5605,13,0.025763504207134247,0,29.685331344604492,0,3.8454211903626856e-7,7.956472245496116e-7,0.39786943793296814,-91.2805832,33.2113616,0,10,2004-01-01
MANDIFORE-SEUS-5605,13,0.02527797594666481,0,30.22757339477539,0,3.1902328601063346e-7,2.3243651980919822e-7,0.7963721752166748,-91.2805832,33.2113616,31,10,2004-02-01
MANDIFORE-SEUS-5605,13,0.02274656668305397,0,30.22757339477539,0,1.1701133217911774e-7,2.86827912532317e-8,0.7941206097602844,-91.2805832,33.2113616,60,10,2004-03-01
MANDIFORE-SEUS-5605,13,0.020569460466504097,0,11.557868003845215,0,-1.143850125728818e-9,0,0.5125886797904968,-91.2805832,33.2113616,91,10,2004-04-01
MANDIFORE-SEUS-5605,13,0.020557962357997894,0,11.557868003845215,-5.364418029785156e-7,1.9660471028970505e-9,2.0111597720529062e-8,0.5119002461433411,-91.2805832,33.2113616,121,10,2004-05-01
MANDIFORE-SEUS-5605,13,0.020527992397546768,0,11.557868003845215,0,1.4918262181140562e-9,4.7541284686758445e-8,0.5108159184455872,-91.2805832,33.2113616,152,10,2004-06-01
MANDIFORE-SEUS-5605,13,0.019083602353930473,0,11.557868003845215,0,2.0227419739171637e-9,7.497301623970998e-8,0.5018603205680847,-91.2805832,33.2113616,182,10,2004-07-01
MANDIFORE-SEUS-5605,13,0.017586786299943924,0,11.649888038635254,1.104245901107788,-3.447196417205589e-10,7.230352849774135e-8,0.4925484359264374,-91.2805832,33.2113616,213,10,2004-08-01
